DATE,N_POINTS,CYCLE_NUMBER,DATA_MODE,DIRECTION,PLATFORM_NUMBER,POSITION_QC,PRES,PRES_ERROR,PRES_QC,PSAL,PSAL_ERROR,PSAL_QC,TEMP,TEMP_ERROR,TEMP_QC,TIME_QC,LATITUDE,LONGITUDE,TIME
2023-01-01,0,108,D,A,2902769,1,0.3,2.4,1,33.91282,0.01,1,28.241,0.002,1,1,5.806,85.954,2023-01-01 03:23:36
2023-01-04,214,137,A,A,2902758,1,8.0,,1,30.713,,1,25.383,,1,1,19.114,88.653,2023-01-04 01:57:00
2023-01-05,321,225,D,A,2902294,1,18.91,2.4,1,34.34772,0.01,1,28.3223,0.002,1,1,6.981966,90.029938,2023-01-05 14:25:46
2023-01-06,1308,106,D,A,2902770,1,0.4,2.4,1,33.75704,0.01,1,27.03,0.002,1,1,12.603,86.188,2023-01-06 01:33:20
2023-01-08,1724,138,A,A,2902758,1,7.4,,1,31.929,,1,26.425,,1,1,18.989,88.551,2023-01-08 18:38:00
2023-01-09,1831,148,D,A,2902775,1,0.0,2.4,1,34.84056,0.01,1,28.29,0.002,1,1,7.104,83.531,2023-01-09 05:22:20
2023-01-10,2371,124,D,A,2902771,1,1.7,2.4,1,33.82061,0.01,1,28.416,0.002,1,1,5.211,84.725,2023-01-10 05:22:17
2023-01-11,3667,61,A,A,2902837,1,3.0,,1,34.443,,1,27.636,,1,1,10.873,86.008,2023-01-11 07:05:00
2023-01-13,3779,139,A,A,2902758,1,8.1,,1,31.914,,1,26.265,,1,1,18.899,88.427,2023-01-13 11:12:00
2023-01-15,3886,227,D,A,2902294,1,32.64,2.4,1,34.25051,0.01,1,28.3183,0.002,1,1,6.792287,89.933372,2023-01-15 16:22:47
2023-01-16,4866,62,A,A,2902837,1,3.3,2.4,1,33.69,0.01,1,27.099,0.002,1,1,10.891,86.049,2023-01-16 02:33:00
2023-01-18,5278,140,A,A,2902758,1,8.1,,1,30.814,,1,25.56,,1,1,18.804,88.309,2023-01-18 03:23:00
2023-01-19,5384,149,D,A,2902775,1,0.0,2.4,1,34.49406,0.01,1,27.964,0.002,1,1,6.333,83.328,2023-01-19 05:40:17
2023-01-20,5926,125,D,A,2902771,1,0.3,2.4,1,34.45728,0.01,1,28.395,0.002,1,1,5.221,84.763,2023-01-20 05:23:30
